epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.024,1.4144,1.62497,1.26752,0.722,0.7182,0.73965,0.42811,1.41844,1.21335,1.26987,0.000554101,0.000554101,0.000554101
2,287.528,1.39833,1.17364,1.24534,0.71886,0.73071,0.74055,0.41926,1.51023,1.14249,1.31869,0.00109878,0.00109878,0.00109878
3,428.367,1.40946,1.09942,1.25596,0.7536,0.73833,0.7784,0.45375,1.44555,1.06736,1.31377,0.00163246,0.00163246,0.00163246
4,567.534,1.38508,1.03734,1.24614,0.76438,0.74918,0.79824,0.48135,1.42697,1.009,1.29607,0.00161749,0.00161749,0.00161749
5,706.887,1.35389,0.9769,1.22756,0.81584,0.76498,0.81712,0.49683,1.41237,0.94307,1.26378,0.00160099,0.00160099,0.00160099
6,847.092,1.34013,0.9571,1.2204,0.80605,0.7981,0.83929,0.50741,1.37977,0.87534,1.25241,0.00158448,0.00158448,0.00158448
7,987.031,1.32758,0.9308,1.21423,0.82946,0.79889,0.84679,0.52612,1.34706,0.87467,1.23515,0.00156798,0.00156798,0.00156798
8,1128.54,1.31606,0.89517,1.20738,0.79979,0.82298,0.83217,0.52464,1.33241,0.83591,1.24439,0.00155148,0.00155148,0.00155148
9,1268.23,1.29297,0.87537,1.19453,0.82065,0.79734,0.85189,0.53223,1.34904,0.83897,1.25036,0.00153497,0.00153497,0.00153497
10,1409.41,1.2888,0.86396,1.19246,0.79213,0.78694,0.84061,0.536,1.3148,0.82791,1.23685,0.00151847,0.00151847,0.00151847
11,1549.73,1.28454,0.85474,1.19007,0.78863,0.8077,0.83926,0.53474,1.3278,0.81218,1.23872,0.00150197,0.00150197,0.00150197
12,1691.75,1.27013,0.83209,1.18444,0.83137,0.79939,0.85214,0.54097,1.3189,0.79804,1.23194,0.00148546,0.00148546,0.00148546
13,1833.05,1.26112,0.81398,1.17584,0.82845,0.82505,0.85435,0.53246,1.35062,0.79918,1.25817,0.00146896,0.00146896,0.00146896
14,1976.18,1.24169,0.8042,1.17058,0.83618,0.812,0.85222,0.53112,1.32708,0.78395,1.24446,0.00145246,0.00145246,0.00145246
15,2117.61,1.23697,0.79086,1.16095,0.82954,0.82343,0.86093,0.55613,1.2909,0.73994,1.2224,0.00143595,0.00143595,0.00143595
16,2260.55,1.23291,0.77719,1.15898,0.8474,0.83114,0.8643,0.54564,1.30627,0.76316,1.21974,0.00141945,0.00141945,0.00141945
17,2400.36,1.2201,0.76795,1.15693,0.83855,0.83237,0.86819,0.55768,1.29699,0.75443,1.21322,0.00140295,0.00140295,0.00140295
18,2542.87,1.22093,0.7757,1.15681,0.83011,0.83557,0.87016,0.55379,1.30026,0.75285,1.2082,0.00138644,0.00138644,0.00138644
19,2683.87,1.20269,0.75136,1.14371,0.83443,0.82561,0.86228,0.54494,1.29803,0.75962,1.22729,0.00136994,0.00136994,0.00136994
20,2824.72,1.20782,0.75079,1.14664,0.85585,0.84163,0.87221,0.56233,1.27483,0.73067,1.19917,0.00135344,0.00135344,0.00135344
21,2966.22,1.2051,0.74573,1.1478,0.84578,0.82687,0.87723,0.56871,1.27208,0.73518,1.20549,0.00133693,0.00133693,0.00133693
22,3108.39,1.19579,0.7343,1.13999,0.84749,0.85688,0.88236,0.57221,1.28242,0.70155,1.20289,0.00132043,0.00132043,0.00132043
23,3249.78,1.18901,0.7244,1.13612,0.85957,0.82197,0.87048,0.5661,1.28084,0.7027,1.19545,0.00130393,0.00130393,0.00130393
24,3390.6,1.18294,0.72585,1.13635,0.8578,0.84624,0.87688,0.56509,1.28508,0.7059,1.20343,0.00128742,0.00128742,0.00128742
25,3530.6,1.17962,0.70937,1.12952,0.85342,0.82976,0.87245,0.56269,1.29262,0.71121,1.21598,0.00127092,0.00127092,0.00127092
26,3671.22,1.17644,0.70542,1.12853,0.85606,0.84179,0.8785,0.5666,1.28636,0.69726,1.20266,0.00125442,0.00125442,0.00125442
27,3813.89,1.17301,0.70284,1.12589,0.84942,0.85639,0.88062,0.56648,1.291,0.70304,1.21441,0.00123791,0.00123791,0.00123791
28,3954.53,1.15916,0.68551,1.12106,0.85373,0.84635,0.87769,0.56495,1.28919,0.69299,1.21409,0.00122141,0.00122141,0.00122141
29,4096.35,1.15516,0.67794,1.11888,0.84917,0.85191,0.8847,0.5738,1.27779,0.68036,1.21051,0.00120491,0.00120491,0.00120491
30,4238.04,1.155,0.68079,1.12036,0.83628,0.85527,0.87125,0.56627,1.2749,0.68503,1.19578,0.0011884,0.0011884,0.0011884
31,4381.01,1.15428,0.67716,1.12187,0.85077,0.85003,0.87794,0.56971,1.27941,0.67791,1.21046,0.0011719,0.0011719,0.0011719
32,4520.11,1.14486,0.6624,1.1135,0.86573,0.83797,0.87617,0.56508,1.27818,0.692,1.2108,0.0011554,0.0011554,0.0011554
33,4658.6,1.14411,0.66139,1.11101,0.86075,0.84135,0.88401,0.57705,1.27436,0.66811,1.2108,0.00113889,0.00113889,0.00113889
34,4801.69,1.13635,0.6584,1.1052,0.84173,0.85565,0.8798,0.57786,1.26071,0.67246,1.19392,0.00112239,0.00112239,0.00112239
35,4942.66,1.13872,0.65681,1.10754,0.85612,0.85807,0.88827,0.57841,1.27461,0.67586,1.20185,0.00110589,0.00110589,0.00110589
36,5085.41,1.12453,0.64339,1.10151,0.85937,0.85591,0.88361,0.57706,1.27033,0.66346,1.19511,0.00108938,0.00108938,0.00108938
37,5226.21,1.11899,0.64085,1.09747,0.84489,0.85934,0.88382,0.57551,1.26723,0.66928,1.19878,0.00107288,0.00107288,0.00107288
